camis,boro,critical_flag,cuisine_description,inspection_date,score,grade
41242148,Manhattan,Critical,Irish,2016-10-13T00:00:00Z,9,A
50011024,Manhattan,Not Critical,Indian,2015-07-21T00:00:00Z,7,B
40573964,Manhattan,Not Critical,American,2016-06-10T00:00:00Z,10,A
50053384,Manhattan,Critical,Soups & Sandwiches,2016-12-12T00:00:00Z,14,B
40854950,Manhattan,Not Critical,Italian,2016-05-17T00:00:00Z,12,A
41544565,Bronx,Critical,American,2015-04-02T00:00:00Z,13,A
41445505,Brooklyn,Critical,American,2015-02-12T00:00:00Z,12,A
41144145,Queens,Not Critical,American,2016-09-07T00:00:00Z,13,A
50000203,Queens,Critical,Spanish,2017-01-31T00:00:00Z,21,B
41606952,Queens,Not Critical,Mexican,2016-05-19T00:00:00Z,12,A
41476697,Manhattan,Critical,American,2017-07-21T00:00:00Z,11,A
41722445,Brooklyn,Critical,American,2017-08-08T00:00:00Z,10,A
40363744,Brooklyn,Not Critical,American,2016-03-14T00:00:00Z,2,A
41331720,Bronx,Not Critical,Bakery,2015-01-12T00:00:00Z,12,A
41245488,Brooklyn,Not Critical,Chinese,2016-04-13T00:00:00Z,12,A
40376735,Manhattan,Critical,Irish,2016-10-17T00:00:00Z,13,A
41373384,Manhattan,Critical,Pizza,2014-12-16T00:00:00Z,9,A
40384441,Brooklyn,Not Critical,Spanish,2016-04-21T00:00:00Z,11,A
50000638,Queens,Critical,Mexican,2016-10-15T00:00:00Z,12,A
41271464,Staten Island,Critical,Hotdogs/Pretzels,2017-08-24T00:00:00Z,5,A
41684056,Manhattan,Not Critical,French,2015-03-16T00:00:00Z,2,A
50048625,Queens,Not Critical,Bakery,2017-09-29T00:00:00Z,11,A
41687909,Manhattan,Not Critical,Cafe/coffee/Tea,2017-06-01T00:00:00Z,4,A
40756352,Manhattan,Not Critical,American,2015-06-04T00:00:00Z,2,A
50010956,Queens,Not Critical,Chinese,2016-12-21T00:00:00Z,13,A
41421846,Brooklyn,Not Applicable,Donuts,2014-11-13T00:00:00Z,0,A
50016753,Queens,Critical,Chinese,2017-09-21T00:00:00Z,13,A
41691644,Brooklyn,Critical,Mexican,2017-01-23T00:00:00Z,12,A
50004149,Manhattan,Not Critical,Mexican,2015-07-06T00:00:00Z,4,A
40665065,Manhattan,Critical,French,2014-11-26T00:00:00Z,13,A
50068112,Manhattan,Critical,Mexican,2017-10-02T00:00:00Z,12,A
41660608,Brooklyn,Critical,Chinese,2016-09-16T00:00:00Z,27,B
41423288,Queens,Critical,Chinese,2015-09-23T00:00:00Z,12,A
50004905,Queens,Critical,Spanish,2015-11-05T00:00:00Z,8,A
40960423,Manhattan,Critical,Mexican,2015-09-03T00:00:00Z,7,A
40994739,Manhattan,Critical,Sandwiches,2016-04-23T00:00:00Z,12,A
41534408,Bronx,Critical,American,2014-04-11T00:00:00Z,27,B
